Gene	Protein	Locus	GeneName
NC_001137.3	NP_010873.1	YEL041W	YEF1
NC_001137.3	NP_010874.3	YEL040W	UTR2
NC_001137.3	NP_010875.1	YEL039C	CYC7
NC_001137.3	NP_010876.2	YEL038W	UTR4
NC_001137.3	NP_010877.3	YEL037C	RAD23
NC_001137.3	NP_010878.1	YEL036C	ANP1
NC_001137.3	NP_010879.1	YEL035C	UTR5
NC_001137.3	NP_010880.3	YEL034W	HYP2
NC_001137.3	NP_010881.1	YEL033W	MTC7
NC_001137.3	NP_010882.1	YEL032W	MCM3
NC_001137.3	NP_010883.3	YEL031W	SPF1
NC_001137.3	NP_010884.1	YEL030W	ECM10
NC_001137.3	NP_010885.1	YEL029C	BUD16
NC_001137.3	NP_001335764.1	YEL028W	NP_001335764.1
NC_001137.3	NP_010887.3	YEL027W	VMA3
NC_001137.3	NP_010888.1	YEL026W	SNU13
NC_001137.3	NP_010889.1	YEL025C	NP_010889.1
NC_001137.3	NP_010890.3	YEL024W	RIP1
NC_001137.3	NP_010891.1	YEL023C	NP_010891.1
NC_001137.3	NP_010892.1	YEL022W	GEA2
NC_001137.3	NP_010893.3	YEL021W	URA3
NC_001137.3	NP_010894.1	YEL020W-A	TIM9
NC_001137.3	NP_010895.1	YEL020C	PXP1
NC_001137.3	NP_010896.3	YEL019C	MMS21
NC_001137.3	NP_010897.1	YEL018W	EAF5
NC_001137.3	NP_010898.1	YEL017C-A	PMP2
NC_001137.3	NP_010899.3	YEL017W	GTT3
NC_001137.3	NP_010900.1	YEL016C	NPP2
NC_001137.3	NP_010901.1	YEL015W	EDC3
NC_001137.3	NP_001335765.1	YEL014C	NP_001335765.1
NC_001137.3	NP_010903.3	YEL013W	VAC8
NC_001137.3	NP_010904.2	YEL012W	UBC8
NC_001137.3	NP_010905.1	YEL011W	GLC3
NC_001137.3	NP_001335766.1	YEL009C-A	NP_001335766.1
NC_001137.3	NP_010907.3	YEL009C	GCN4
NC_001137.3	NP_001335767.1	YEL008W	NP_001335767.1
NC_001137.3	NP_010909.1	YEL007W	MIT1
NC_001137.3	NP_010910.1	YEL006W	YEA6
NC_001137.3	NP_010911.3	YEL005C	VAB2
NC_001137.3	NP_010912.1	YEL004W	YEA4
NC_001137.3	NP_010913.2	YEL003W	GIM4
NC_001137.3	NP_010914.3	YEL002C	WBP1
NC_001137.3	NP_010915.1	YEL001C	IRC22
NC_001137.3	NP_010916.1	YER001W	MNN1
NC_001137.3	NP_010917.3	YER002W	NOP16
NC_001137.3	NP_010918.1	YER003C	PMI40
NC_001137.3	NP_010919.1	YER004W	FMP52
NC_001137.3	NP_010920.3	YER005W	YND1
NC_001137.3	NP_010921.1	YER006W	NUG1
NC_001137.3	NP_010922.1	YER007W	PAC2
NC_001137.3	NP_010923.3	YER007C-A	TMA20
NC_001137.3	NP_010924.1	YER008C	SEC3
NC_001137.3	NP_010925.1	YER009W	NTF2
NC_001137.3	NP_010926.3	YER010C	NP_010926.3
NC_001137.3	NP_010927.1	YER011W	TIR1
NC_001137.3	NP_010928.1	YER012W	PRE1
NC_001137.3	NP_010929.3	YER013W	PRP22
NC_001137.3	NP_010930.1	YER014W	HEM14
NC_001137.3	NP_076437.1	YER014C-A	BUD25
NC_001137.3	NP_010931.3	YER015W	FAA2
NC_001137.3	NP_010932.1	YER016W	BIM1
NC_001137.3	NP_010933.1	YER017C	AFG3
NC_001137.3	NP_010934.3	YER018C	SPC25
NC_001137.3	NP_010935.1	YER019W	ISC1
NC_001137.3	NP_010936.1	YER019C-A	SBH2
NC_001137.3	NP_010937.3	YER020W	GPA2
NC_001137.3	NP_010938.1	YER021W	RPN3
NC_001137.3	NP_010939.1	YER022W	SRB4
NC_001137.3	NP_010940.3	YER023W	PRO3
NC_001137.3	NP_010941.1	YER024W	YAT2
NC_001137.3	NP_010942.1	YER025W	GCD11
NC_001137.3	NP_010943.3	YER026C	CHO1
NC_001137.3	NP_010944.1	YER027C	GAL83
NC_001137.3	NP_010945.1	YER028C	MIG3
NC_001137.3	NP_010946.3	YER029C	SMB1
NC_001137.3	NP_010947.2	YER030W	CHZ1
NC_001137.3	NP_010948.1	YER031C	YPT31
NC_001137.3	NP_010949.4	YER032W	FIR1
NC_001137.3	NP_010950.1	YER033C	ZRG8
NC_001137.3	NP_010951.1	YER034W	NP_010951.1
NC_001137.3	NP_010952.3	YER035W	EDC2
NC_001137.3	NP_010953.1	YER036C	ARB1
NC_001137.3	NP_010954.1	YER037W	PHM8
NC_001137.3	NP_010955.3	YER038C	KRE29
NC_001137.3	NP_001288277.1	YER038W-A	FMP49
NC_001137.3	NP_010956.1	YER039C	HVG1
NC_001137.3	NP_010957.1	YER039C-A	NP_010957.1
NC_001137.3	NP_010958.3	YER040W	GLN3
NC_001137.3	NP_010959.2	YER041W	YEN1
NC_001137.3	NP_010960.1	YER042W	MXR1
NC_001137.3	NP_010961.3	YER043C	SAH1
NC_001137.3	NP_010962.1	YER044C	ERG28
NC_001137.3	NP_010963.1	YER044C-A	MEI4
NC_001137.3	NP_010964.3	YER045C	ACA1
NC_001137.3	NP_010965.1	YER046W	SPO73
NC_001137.3	NP_010966.1	YER047C	SAP1
NC_001137.3	NP_010967.3	YER048C	CAJ1
NC_001137.3	NP_010968.1	YER048W-A	ISD11
NC_001137.3	NP_010969.1	YER049W	TPA1
NC_001137.3	NP_010970.4	YER050C	RSM18
NC_001137.3	NP_010971.1	YER051W	JHD1
NC_001137.3	NP_010972.1	YER052C	HOM3
NC_001137.3	NP_010973.3	YER053C	PIC2
NC_001137.3	NP_061492.1	YER053C-A	NP_061492.1
NC_001137.3	NP_010974.1	YER054C	GIP2
NC_001137.3	NP_010975.3	YER055C	HIS1
NC_001137.3	NP_010976.1	YER056C	FCY2
NC_001137.3	NP_010977.2	YER056C-A	RPL34A
NC_001137.3	NP_010978.3	YER057C	HMF1
NC_001137.3	NP_010979.1	YER058W	PET117
NC_001137.3	NP_010980.1	YER059W	PCL6
NC_001137.3	NP_010981.3	YER060W	FCY21
NC_001137.3	NP_010982.1	YER060W-A	FCY22
NC_001137.3	NP_010983.2	YER061C	CEM1
NC_001137.3	NP_010984.3	YER062C	GPP2
NC_001137.3	NP_010985.1	YER063W	THO1
NC_001137.3	NP_010986.1	YER064C	VHR2
NC_001137.3	NP_010987.3	YER065C	ICL1
NC_001137.3	NP_010988.1	YER066W	RRT13
NC_001137.3	NP_010990.1	YER067W	RGI1
NC_001137.3	NP_010991.3	YER068W	MOT2
NC_001137.3	NP_010992.1	YER069W	NP_010992.1
NC_001137.3	NP_010993.1	YER070W	RNR1
NC_001137.3	NP_010994.3	YER071C	TDA2
NC_001137.3	NP_010995.1	YER072W	VTC1
NC_001137.3	NP_010996.2	YER073W	ALD5
NC_001137.3	NP_010997.3	YER074W	RPS24A
NC_001137.3	NP_219496.2	YER074W-A	YOS1
NC_001137.3	NP_010998.2	YER075C	PTP3
NC_001137.3	NP_010999.3	YER076C	NP_010999.3
NC_001137.3	NP_011000.1	YER077C	MRX1
NC_001137.3	NP_011001.1	YER078C	ICP55
NC_001137.3	NP_878068.3	YER078W-A	NP_878068.3
NC_001137.3	NP_011002.1	YER079W	NP_011002.1
NC_001137.3	NP_011003.1	YER080W	AIM9
NC_001137.3	NP_011004.3	YER081W	SER3
NC_001137.3	NP_011005.1	YER082C	UTP7
NC_001137.3	NP_011006.2	YER083C	GET2
NC_001137.3	NP_001257673.1	YER084W	NP_001257673.1
NC_001137.3	NP_011008.3	YER085C	NP_011008.3
NC_001137.3	NP_011009.1	YER086W	ILV1
NC_001137.3	NP_011010.1	YER087W	AIM10
NC_001137.3	NP_011011.3	YER087C-B	SBH1
NC_001137.3	NP_011012.3	YER088C	DOT6
NC_001137.3	NP_011013.1	YER089C	PTC2
NC_001137.3	NP_011014.1	YER090W	TRP2
NC_001137.3	NP_011015.3	YER091C	MET6
NC_001137.3	NP_011017.3	YER092W	IES5
NC_001137.3	NP_011018.1	YER093C	TSC11
NC_001137.3	NP_011019.1	YER093C-A	AIM11
NC_001137.3	NP_011020.3	YER094C	PUP3
NC_001137.3	NP_011021.3	YER095W	RAD51
NC_001137.3	NP_011022.1	YER096W	SHC1
NC_001137.3	NP_011024.1	YER098W	UBP9
NC_001137.3	NP_011025.3	YER099C	PRS2
NC_001137.3	NP_011026.3	YER100W	UBC6
NC_001137.3	NP_011027.1	YER101C	AST2
NC_001137.3	NP_011028.1	YER102W	RPS8B
NC_001137.3	NP_011029.3	YER103W	SSA4
NC_001137.3	NP_011030.3	YER104W	RTT105
NC_001137.3	NP_011031.1	YER105C	NUP157
NC_001137.3	NP_011032.1	YER106W	MAM1
NC_001137.3	NP_011033.3	YER107C	GLE2
NC_001137.3	NP_011035.1	YER110C	KAP123
NC_001137.3	NP_011036.1	YER111C	SWI4
NC_001137.3	NP_011037.3	YER112W	LSM4
NC_001137.3	NP_011038.3	YER113C	TMN3
NC_001137.3	NP_011039.1	YER114C	BOI2
NC_001137.3	NP_011040.1	YER115C	SPR6
NC_001137.3	NP_011041.3	YER116C	SLX8
NC_001137.3	NP_011042.3	YER117W	RPL23B
NC_001137.3	NP_011043.1	YER118C	SHO1
NC_001137.3	NP_011044.1	YER119C	AVT6
NC_001137.3	NP_011046.3	YER120W	SCS2
NC_001137.3	NP_011047.3	YER121W	NP_011047.3
NC_001137.3	NP_011048.1	YER122C	GLO3
NC_001137.3	NP_011049.2	YER123W	YCK3
NC_001137.3	NP_011050.3	YER124C	DSE1
NC_001137.3	NP_011051.3	YER125W	RSP5
NC_001137.3	NP_011052.1	YER126C	NSA2
NC_001137.3	NP_011053.1	YER127W	LCP5
NC_001137.3	NP_011054.3	YER128W	VFA1
NC_001137.3	NP_011055.3	YER129W	SAK1
NC_001137.3	NP_011056.1	YER130C	COM2
NC_001137.3	NP_011057.1	YER131W	RPS26B
NC_001137.3	NP_011058.3	YER132C	PMD1
NC_001137.3	NP_011059.3	YER133W	GLC7
NC_001137.3	NP_011060.1	YER134C	NP_011060.1
NC_001137.3	NP_001335768.1	YER135C	NP_001335768.1
NC_001137.3	NP_011062.1	YER136W	GDI1
NC_001137.3	NP_011063.3	YER137C	NP_011063.3
NC_001137.3	NP_011064.3	YER138C	NP_011064.3
NC_001137.3	NP_058155.1	YER137C-A	NP_058155.1
NC_001137.3	NP_011065.1	YER138W-A	NP_011065.1
NC_001137.3	NP_011066.3	YER139C	RTR1
NC_001137.3	NP_011067.3	YER140W	EMP65
NC_001137.3	NP_011068.1	YER141W	COX15
NC_001137.3	NP_011069.1	YER142C	MAG1
NC_001137.3	NP_011070.3	YER143W	DDI1
NC_001137.3	NP_011071.3	YER144C	UBP5
NC_001137.3	NP_011072.1	YER145C	FTR1
NC_001137.3	NP_001335769.1	YER145C-A	NP_001335769.1
NC_001137.3	NP_011073.1	YER146W	LSM5
NC_001137.3	NP_011074.3	YER147C	SCC4
NC_001137.3	NP_011075.3	YER148W	SPT15
NC_001137.3	NP_011076.1	YER149C	PEA2
NC_001137.3	NP_011077.1	YER150W	SPI1
NC_001137.3	NP_011078.3	YER151C	UBP3
NC_001137.3	NP_011079.3	YER152C	NP_011079.3
NC_001137.3	NP_011080.1	YER153C	PET122
NC_001137.3	NP_011081.1	YER154W	OXA1
NC_001137.3	NP_011082.3	YER155C	BEM2
NC_001137.3	NP_011083.3	YER156C	NP_011083.3
NC_001137.3	NP_011084.1	YER157W	COG3
NC_001137.3	NP_011085.1	YER158C	NP_011085.1
NC_001137.3	NP_011086.3	YER159C	BUR6
NC_001137.3	NP_011087.3	YER160C	NP_011087.3
NC_001137.3	NP_058156.1	YER159C-A	NP_058156.1
NC_001137.3	NP_011088.1	YER161C	SPT2
NC_001137.3	NP_011089.4	YER162C	RAD4
NC_001137.3	NP_011090.3	YER163C	GCG1
NC_001137.3	NP_011091.1	YER164W	CHD1
NC_001137.3	NP_011092.1	YER165W	PAB1
NC_001137.3	NP_011093.3	YER166W	DNF1
NC_001137.3	NP_011094.3	YER167W	BCK2
NC_001137.3	NP_011095.1	YER168C	CCA1
NC_001137.3	NP_011096.1	YER169W	RPH1
NC_001137.3	NP_011097.3	YER170W	ADK2
NC_001137.3	NP_011098.3	YER171W	RAD3
NC_001137.3	NP_011099.1	YER172C	BRR2
NC_001137.3	NP_011100.1	YER173W	RAD24
NC_001137.3	NP_011101.3	YER174C	GRX4
NC_001137.3	NP_011102.3	YER175C	TMT1
NC_001137.3	NP_878069.1	YER175W-A	NP_878069.1
NC_001137.3	NP_011103.1	YER176W	ECM32
NC_001137.3	NP_011104.3	YER177W	BMH1
NC_001137.3	NP_011105.4	YER178W	PDA1
NC_001137.3	NP_011106.1	YER179W	DMC1
NC_001137.3	NP_011107.1	YER180C	ISC10
NC_001137.3	NP_796378.3	YER180C-A	SLO1
NC_001137.3	NP_001335770.1	YER181C	NP_001335770.1
NC_001137.3	NP_011109.3	YER182W	FMP10
NC_001137.3	NP_011110.1	YER183C	FAU1
NC_001137.3	NP_011111.1	YER184C	TOG1
NC_001137.3	NP_011112.3	YER185W	PUG1
NC_001137.3	NP_011113.3	YER186C	NP_011113.3
NC_001137.3	NP_011114.1	YER187W	NP_011114.1
NC_001137.3	NP_001335771.1	YER188W	NP_001335771.1
NC_001137.3	NP_878070.1	YER188C-A	NP_878070.1
NC_001137.3	NP_011116.3	YER189W	NP_011116.3
NC_001137.3	NP_011117.3	YER190W	YRF1-2
NC_001137.3	NP_001073292.1	YER190C-B	NP_001073292.1
NC_001138.5	NP_116587.1	YFL068W	NP_116587.1
NC_001138.5	NP_116588.1	YFL067W	NP_116588.1
NC_001138.5	NP_116589.1	YFL066C	NP_116589.1
NC_001138.5	NP_116590.1	YFL065C	NP_116590.1
NC_001138.5	NP_116591.1	YFL064C	NP_116591.1
NC_001138.5	NP_116593.1	YFL062W	COS4
NC_001138.5	NP_116594.1	YFL061W	DDI2
NC_001138.5	NP_116595.1	YFL060C	SNO3
NC_001138.5	NP_116596.1	YFL059W	SNZ3
NC_001138.5	NP_116597.1	YFL058W	THI5
NC_001138.5	NP_116600.1	YFL055W	AGP3
NC_001138.5	NP_116601.1	YFL054C	AQY3
NC_001138.5	NP_116602.1	YFL053W	DAK2
NC_001138.5	NP_116603.1	YFL052W	ZNF1
NC_001138.5	NP_116576.1	YFL051C	NP_116576.1
NC_001138.5	NP_116604.1	YFL050C	ALR2
NC_001138.5	NP_116605.1	YFL049W	SWP82
NC_001138.5	NP_116606.1	YFL048C	EMP47
NC_001138.5	NP_428268.1	YFL047W	RGD2
NC_001138.5	NP_116608.1	YFL046W	FMP32
NC_001138.5	NP_116609.1	YFL045C	SEC53
NC_001138.5	NP_116610.1	YFL044C	OTU1
NC_001138.5	NP_116611.1	YFL042C	LAM5
NC_001138.5	NP_878071.1	YFL041W-A	NP_878071.1
NC_001138.5	NP_116612.1	YFL041W	FET5
NC_001138.5	NP_116613.1	YFL040W	NP_116613.1
NC_001138.5	NP_116614.1	YFL039C	ACT1
NC_001138.5	NP_116615.1	YFL038C	YPT1
NC_001138.5	NP_116616.1	YFL037W	TUB2
NC_001138.5	NP_116617.1	YFL036W	RPO41
NC_001138.5	NP_116618.1	YFL034C-B	MOB2
NC_001138.5	NP_116619.1	YFL034C-A	RPL22B
NC_001138.5	NP_116583.2	YFL034W	MIL1
NC_001138.5	NP_116620.1	YFL033C	RIM15
NC_001138.5	NP_116622.1	YFL031W	HAC1
NC_001138.5	NP_116623.1	YFL030W	AGX1
NC_001138.5	NP_116624.1	YFL029C	CAK1
NC_001138.5	NP_116625.1	YFL028C	CAF16
NC_001138.5	NP_444296.1	YFL027C	GYP8
NC_001138.5	NP_116627.2	YFL026W	STE2
NC_001138.5	NP_116628.1	YFL025C	BST1
NC_001138.5	NP_116629.1	YFL024C	EPL1
NC_001138.5	NP_683715.1	YFL023W	BUD27
NC_001138.5	NP_116631.1	YFL022C	FRS2
NC_001138.5	NP_116632.1	YFL021W	GAT1
NC_001138.5	NP_116633.1	YFL020C	PAU5
NC_001138.5	NP_001335772.1	YFL019C	NP_001335772.1
NC_001138.5	NP_116635.1	YFL018C	LPD1
NC_001138.5	NP_116636.1	YFL017W-A	SMX2
NC_001138.5	NP_116637.1	YFL017C	GNA1
NC_001138.5	NP_116638.1	YFL016C	MDJ1
NC_001138.5	NP_001335773.1	YFL015C	NP_001335773.1
NC_001138.5	NP_116640.1	YFL014W	HSP12
NC_001138.5	NP_116641.1	YFL013C	IES1
NC_001138.5	NP_116643.1	YFL012W	NP_116643.1
NC_001138.5	NP_116644.1	YFL011W	HXT10
NC_001138.5	NP_116645.1	YFL010W-A	AUA1
NC_001138.5	NP_570898.1	YFL010C	WWM1
NC_001138.5	NP_116585.1	YFL009W	CDC4
NC_001138.5	NP_116647.1	YFL008W	SMC1
NC_001138.5	NP_116648.2	YFL007W	BLM10
NC_001138.5	NP_116650.1	YFL005W	SEC4
NC_001138.5	NP_116651.1	YFL004W	VTC2
NC_001138.5	NP_116652.1	YFL003C	MSH4
NC_001138.5	NP_116653.1	YFL002W-A	NP_116653.1
NC_001138.5	NP_058157.1	YFL002W-B	NP_058157.1
NC_001138.5	NP_116654.1	YFL002C	SPB4
NC_001138.5	NP_116655.1	YFL001W	DEG1
NC_001138.5	NP_116656.1	YFR001W	LOC1
NC_001138.5	NP_116657.1	YFR002W	NIC96
NC_001138.5	NP_116658.1	YFR003C	YPI1
NC_001138.5	NP_116659.1	YFR004W	RPN11
NC_001138.5	NP_116660.1	YFR005C	SAD1
NC_001138.5	NP_116661.1	YFR006W	NP_116661.1
NC_001138.5	NP_116662.1	YFR007W	YFH7
NC_001138.5	NP_116663.1	YFR008W	FAR7
NC_001138.5	NP_116664.1	YFR009W	GCN20
NC_001138.5	NP_116665.1	YFR010W	UBP6
NC_001138.5	NP_116666.1	YFR011C	MIC19
NC_001138.5	NP_116667.1	YFR012W	DCV1
NC_001138.5	NP_076889.1	YFR012W-A	NP_076889.1
NC_001138.5	NP_116668.1	YFR013W	IOC3
NC_001138.5	NP_116669.1	YFR014C	CMK1
NC_001138.5	NP_116670.1	YFR015C	GSY1
NC_001138.5	NP_116671.1	YFR016C	NP_116671.1
NC_001138.5	NP_116672.1	YFR017C	IGD1
NC_001138.5	NP_116673.1	YFR018C	NP_116673.1
NC_001138.5	NP_116674.2	YFR019W	FAB1
NC_001138.5	NP_001257674.1	YFR020W	CSS2
NC_001138.5	NP_444297.1	YFR021W	ATG18
NC_001138.5	NP_116677.3	YFR022W	ROG3
NC_001138.5	NP_116678.1	YFR023W	PES4
NC_001138.5	NP_219497.4	YFR024C-A	LSB3
NC_001138.5	NP_116681.1	YFR025C	HIS2
NC_001138.5	NP_116682.3	YFR026C	ULI1
NC_001138.5	NP_116683.1	YFR027W	ECO1
NC_001138.5	NP_116684.3	YFR028C	CDC14
NC_001138.5	NP_116685.1	YFR029W	PTR3
NC_001138.5	NP_116686.3	YFR030W	MET10
NC_001138.5	NP_116687.1	YFR031C	SMC2
NC_001138.5	NP_116688.3	YFR031C-A	RPL2A
NC_001138.5	NP_116689.1	YFR032C	RRT5
NC_001138.5	NP_116690.3	YFR032C-A	RPL29
NC_001138.5	NP_878072.1	YFR032C-B	NP_878072.1
NC_001138.5	NP_116691.3	YFR033C	QCR6
NC_001138.5	NP_116692.1	YFR034C	PHO4
NC_001138.5	NP_116693.3	YFR035C	NP_116693.3
NC_001138.5	NP_116694.1	YFR036W	CDC26
NC_001138.5	NP_116695.3	YFR037C	RSC8
NC_001138.5	NP_116696.2	YFR038W	IRC5
NC_001138.5	NP_116697.3	YFR039C	OSW7
NC_001138.5	NP_116698.3	YFR040W	SAP155
NC_001138.5	NP_116699.3	YFR041C	ERJ5
NC_001138.5	NP_116700.1	YFR042W	KEG1
NC_001138.5	NP_116701.3	YFR043C	IRC6
NC_001138.5	NP_116702.1	YFR044C	DUG1
NC_001138.5	NP_116703.5	YFR045W	NP_116703.5
NC_001138.5	NP_116704.1	YFR046C	CNN1
NC_001138.5	NP_602317.3	YFR047C	BNA6
NC_001138.5	NP_683716.1	YFR048W	RMD8
NC_001138.5	NP_116707.3	YFR049W	YMR31
NC_001138.5	NP_116708.1	YFR050C	PRE4
NC_001138.5	NP_116709.3	YFR051C	RET2
NC_001138.5	NP_116710.1	YFR052W	RPN12
NC_001138.5	NP_116711.3	YFR053C	HXK1
NC_001138.5	NP_001335774.1	YFR054C	NP_001335774.1
NC_001138.5	NP_116714.1	YFR055W	IRC7
NC_001138.5	NP_116715.3	YFR057W	NP_116715.3
NC_001139.9	NP_011251.1	YGL263W	COS12
NC_001139.9	NP_011252.1	YGL262W	NP_011252.1
NC_001139.9	NP_011253.1	YGL261C	PAU11
NC_001139.9	NP_011254.1	YGL260W	NP_011254.1
NC_001139.9	NP_011255.1	YGL259W	YPS5
NC_001139.9	NP_076890.1	YGL258W-A	NP_076890.1
NC_001139.9	NP_011256.1	YGL258W	VEL1
NC_001139.9	NP_011257.1	YGL257C	MNT2
NC_001139.9	NP_011258.2	YGL256W	ADH4
NC_001139.9	NP_011259.1	YGL255W	ZRT1
NC_001139.9	NP_011260.1	YGL254W	FZF1
NC_001139.9	NP_011261.1	YGL253W	HXK2
NC_001139.9	NP_011262.1	YGL252C	RTG2
NC_001139.9	NP_011263.2	YGL251C	HFM1
NC_001139.9	NP_011264.2	YGL250W	RMR1
NC_001139.9	NP_011265.1	YGL249W	ZIP2
NC_001139.9	NP_011266.1	YGL248W	PDE1
NC_001139.9	NP_011267.1	YGL247W	BRR6
NC_001139.9	NP_011268.1	YGL246C	RAI1
NC_001139.9	NP_011269.2	YGL245W	GUS1
NC_001139.9	NP_011270.1	YGL244W	RTF1
NC_001139.9	NP_011271.1	YGL243W	TAD1
NC_001139.9	NP_011272.1	YGL242C	NP_011272.1
NC_001139.9	NP_011273.1	YGL241W	KAP114
NC_001139.9	NP_011274.2	YGL240W	DOC1
NC_001139.9	NP_011276.1	YGL238W	CSE1
NC_001139.9	NP_011277.1	YGL237C	HAP2
NC_001139.9	NP_011278.2	YGL236C	MTO1
NC_001139.9	NP_011279.1	YGL235W	NP_011279.1
NC_001139.9	NP_011280.1	YGL234W	NP_011280.1
NC_001139.9	NP_011281.1	YGL233W	SEC15
NC_001139.9	NP_011282.1	YGL232W	TAN1
NC_001139.9	NP_011283.1	YGL231C	EMC4
NC_001139.9	NP_011284.1	YGL230C	NP_011284.1
NC_001139.9	NP_011285.1	YGL229C	SAP4
NC_001139.9	NP_011286.1	YGL228W	SHE10
NC_001139.9	NP_011287.1	YGL227W	VID30
NC_001139.9	NP_011288.1	YGL226C-A	OST5
NC_001139.9	NP_011289.1	YGL226W	MTC3
NC_001139.9	NP_011290.1	YGL225W	VRG4
NC_001139.9	NP_011291.1	YGL224C	SDT1
NC_001139.9	NP_011292.1	YGL223C	COG1
NC_001139.9	NP_011293.1	YGL222C	EDC1
NC_001139.9	NP_011294.1	YGL221C	NIF3
NC_001139.9	NP_011295.1	YGL220W	BOL2
NC_001139.9	NP_011296.1	YGL219C	MDM34
NC_001139.9	NP_011299.1	YGL216W	KIP3
NC_001139.9	NP_011300.1	YGL215W	CLG1
NC_001139.9	NP_011302.1	YGL213C	SKI8
NC_001139.9	NP_011303.1	YGL212W	VAM7
NC_001139.9	NP_011304.2	YGL211W	NCS6
NC_001139.9	NP_011305.1	YGL210W	YPT32
NC_001139.9	NP_011306.1	YGL209W	MIG2
NC_001139.9	NP_011307.1	YGL208W	SIP2
NC_001139.9	NP_011308.1	YGL207W	SPT16
NC_001139.9	NP_011309.1	YGL206C	CHC1
NC_001139.9	NP_011310.1	YGL205W	POX1
NC_001139.9	NP_001257675.1	YGL204C	NP_001257675.1
NC_001139.9	NP_011312.1	YGL203C	KEX1
NC_001139.9	NP_011313.1	YGL202W	ARO8
NC_001139.9	NP_011314.2	YGL201C	MCM6
NC_001139.9	NP_011315.3	YGL200C	EMP24
NC_001139.9	NP_011317.2	YGL198W	YIP4
NC_001139.9	NP_011318.2	YGL197W	MDS3
NC_001139.9	NP_011319.2	YGL196W	DSD1
NC_001139.9	NP_011320.3	YGL195W	GCN1
NC_001139.9	NP_001032578.1	YGL194C-A	NP_001032578.1
NC_001139.9	NP_011321.1	YGL194C	HOS2
NC_001139.9	NP_011322.1	YGL193C	NP_011322.1
NC_001139.9	NP_011323.3	YGL192W	IME4
NC_001139.9	NP_011324.1	YGL191W	COX13
NC_001139.9	NP_011325.1	YGL190C	CDC55
NC_001139.9	NP_011326.1	YGL189C	RPS26A
NC_001139.9	NP_878073.3	YGL188C-A	NP_878073.3
NC_001139.9	NP_011328.1	YGL187C	COX4
NC_001139.9	NP_011329.1	YGL186C	TPN1
NC_001139.9	NP_011330.1	YGL185C	NP_011330.1
NC_001139.9	NP_011331.3	YGL184C	STR3
NC_001139.9	NP_011332.2	YGL183C	MND1
NC_001139.9	NP_011334.1	YGL181W	GTS1
NC_001139.9	NP_011335.1	YGL180W	ATG1
NC_001139.9	NP_011336.3	YGL179C	TOS3
NC_001139.9	NP_011337.1	YGL178W	MPT5
NC_001139.9	NP_011339.1	YGL176C	NP_011339.1
NC_001139.9	NP_011340.1	YGL175C	SAE2
NC_001139.9	NP_011341.3	YGL174W	BUD13
NC_001139.9	NP_011342.1	YGL173C	XRN1
NC_001139.9	NP_011343.1	YGL172W	NUP49
NC_001139.9	NP_011344.1	YGL171W	ROK1
NC_001139.9	NP_011345.3	YGL170C	SPO74
NC_001139.9	NP_011346.1	YGL169W	SUA5
NC_001139.9	NP_011347.1	YGL168W	HUR1
NC_001139.9	NP_011348.1	YGL167C	PMR1
NC_001139.9	NP_011349.3	YGL166W	CUP2
NC_001139.9	NP_011351.1	YGL164C	YRB30
NC_001139.9	NP_011352.1	YGL163C	RAD54
NC_001139.9	NP_011353.1	YGL162W	SUT1
NC_001139.9	NP_011354.3	YGL161C	YIP5
NC_001139.9	NP_011355.1	YGL160W	AIM14
NC_001139.9	NP_011356.1	YGL159W	NP_011356.1
NC_001139.9	NP_011357.1	YGL158W	RCK1
NC_001139.9	NP_011358.3	YGL157W	ARI1
NC_001139.9	NP_011359.1	YGL156W	AMS1
NC_001139.9	NP_011360.1	YGL155W	CDC43
NC_001139.9	NP_011361.1	YGL154C	LYS5
NC_001139.9	NP_011362.3	YGL153W	PEX14
NC_001139.9	NP_011364.1	YGL151W	NUT1
NC_001139.9	NP_011365.1	YGL150C	INO80
NC_001139.9	NP_001335775.1	YGL149W	NP_001335775.1
NC_001139.9	NP_011367.1	YGL148W	ARO2
NC_001139.9	NP_011368.3	YGL147C	RPL9A
NC_001139.9	NP_011369.1	YGL146C	RRT6
NC_001139.9	NP_116577.1	YGL145W	TIP20
NC_001139.9	NP_011371.1	YGL144C	ROG1
NC_001139.9	NP_011372.3	YGL143C	MRF1
NC_001139.9	NP_011373.1	YGL142C	GPI10
NC_001139.9	NP_011374.1	YGL141W	HUL5
NC_001139.9	NP_011375.1	YGL140C	NP_011375.1
NC_001139.9	NP_011376.3	YGL139W	FLC3
NC_001139.9	NP_011377.1	YGL138C	NP_011377.1
NC_001139.9	NP_011378.1	YGL137W	SEC27
NC_001139.9	NP_011379.1	YGL136C	MRM2
NC_001139.9	NP_011380.3	YGL135W	RPL1B
NC_001139.9	NP_011381.1	YGL134W	PCL10
NC_001139.9	NP_011382.1	YGL133W	ITC1
NC_001139.9	NP_011384.1	YGL131C	SNT2
NC_001139.9	NP_011385.3	YGL130W	CEG1
NC_001139.9	NP_011386.2	YGL129C	RSM23
NC_001139.9	NP_011387.2	YGL128C	CWC23
NC_001139.9	NP_011388.1	YGL127C	SOH1
NC_001139.9	NP_011389.3	YGL126W	SCS3
NC_001139.9	NP_011390.2	YGL125W	MET13
NC_001139.9	NP_011391.2	YGL124C	MON1
