scerevisiae	sbayanus
NP_010281.1	Sbay_4.250
NP_010282.3	Sbay_4.251
NP_010283.3	Sbay_4.252
NP_010284.1	Sbay_4.254
NP_010285.1	Sbay_4.255
NP_010286.3	Sbay_4.256
NP_010287.1	Sbay_4.257
NP_010288.1	Sbay_4.258
NP_010289.3	Sbay_4.260
NP_010290.3	Sbay_4.261
NP_010292.1	Sbay_4.262
NP_010296.3	Sbay_2.161
NP_010297.1	Sbay_2.163
NP_010299.3	Sbay_2.166
NP_010300.3	Sbay_2.167
NP_010301.1	Sbay_2.168
NP_010302.1	Sbay_2.169
NP_010303.3	Sbay_2.170
NP_010304.3	Sbay_2.171
NP_010305.1	Sbay_2.172
NP_010306.1	Sbay_2.174
NP_010308.3	Sbay_4.281
NP_010309.3	Sbay_2.176
NP_010310.1	Sbay_2.178
NP_010311.1	Sbay_2.179
NP_010313.3	Sbay_2.181
NP_010314.4	Sbay_2.182
NP_010315.1	Sbay_2.184
NP_010316.1	Sbay_2.186
NP_010317.3	Sbay_2.187
NP_010319.3	Sbay_2.192
NP_010320.3	Sbay_2.193
NP_010321.1	Sbay_2.194
NP_010322.1	Sbay_4.299
NP_010325.1	Sbay_2.197
NP_010326.1	Sbay_2.198
NP_010327.3	Sbay_2.199
NP_010328.3	Sbay_2.200
NP_010329.1	Sbay_2.201
NP_010330.1	Sbay_2.202
NP_010331.3	Sbay_2.203
NP_010332.3	Sbay_2.204
NP_010334.1	Sbay_2.207
NP_010335.1	Sbay_2.208
NP_010336.3	Sbay_2.209
NP_010337.3	Sbay_2.210
NP_010339.1	Sbay_2.211
NP_010340.1	Sbay_2.212
NP_010341.3	Sbay_2.213
NP_010342.3	Sbay_2.214
NP_010343.1	Sbay_2.215
NP_010344.1	Sbay_2.218
NP_010345.3	Sbay_2.219
NP_010346.3	Sbay_2.220
NP_010347.1	Sbay_2.221
NP_010348.1	Sbay_2.222
NP_010349.3	Sbay_2.223
NP_010350.3	Sbay_2.224
NP_010351.1	Sbay_2.225
NP_010352.1	Sbay_2.226
NP_010353.3	Sbay_2.227
NP_010354.3	Sbay_2.228
NP_010355.1	Sbay_2.229
NP_010356.1	Sbay_2.230
NP_010357.3	Sbay_2.231
NP_010358.3	Sbay_2.232
NP_010359.1	Sbay_2.233
NP_010360.1	Sbay_2.234
NP_010361.3	Sbay_2.235
NP_010362.3	Sbay_2.236
NP_010363.1	Sbay_2.237
NP_010364.1	Sbay_2.238
NP_010365.3	Sbay_2.240
NP_010366.1	Sbay_2.241
NP_010367.1	Sbay_2.242
NP_010368.5	Sbay_2.243
NP_010369.3	Sbay_2.244
NP_010370.1	Sbay_2.245
NP_010371.1	Sbay_2.246
NP_010372.3	Sbay_2.247
NP_010373.3	Sbay_2.248
NP_010374.1	Sbay_2.250
NP_010375.1	Sbay_2.251
NP_010376.3	Sbay_2.252
NP_010377.3	Sbay_2.253
NP_010378.1	Sbay_2.254
NP_010381.1	Sbay_2.255
NP_010382.3	Sbay_2.256
NP_010383.4	Sbay_2.257
NP_010384.3	Sbay_2.259
NP_010385.3	Sbay_2.260
NP_010386.1	Sbay_2.261
NP_010388.1	Sbay_2.262
NP_010389.3	Sbay_2.263
NP_010390.3	Sbay_2.264
NP_010391.1	Sbay_2.265
NP_010392.1	Sbay_2.267
NP_010393.3	Sbay_2.268
NP_010394.3	Sbay_2.269
NP_010395.1	Sbay_2.270
NP_010396.1	Sbay_2.271
NP_010398.3	Sbay_2.273
NP_010400.1	Sbay_2.274
NP_010401.1	Sbay_2.275
NP_010402.3	Sbay_2.276
NP_010403.3	Sbay_2.277
NP_010404.1	Sbay_2.279
NP_010405.3	Sbay_2.281
NP_010406.3	Sbay_2.282
NP_010407.1	Sbay_2.283
NP_010408.1	Sbay_2.284
NP_010409.3	Sbay_2.287
NP_010410.3	Sbay_2.288
NP_010411.1	Sbay_2.289
NP_010412.1	Sbay_2.290
NP_010413.3	Sbay_2.291
NP_010414.3	Sbay_2.292
NP_010415.1	Sbay_2.293
NP_010416.1	Sbay_2.294
NP_010417.3	Sbay_2.295
NP_010419.3	Sbay_2.297
NP_010421.1	Sbay_2.298
NP_010422.1	Sbay_2.299
NP_010423.4	Sbay_2.300
NP_010424.3	Sbay_2.301
NP_010425.1	Sbay_2.302
NP_010426.1	Sbay_2.303
NP_010427.3	Sbay_2.304
NP_010428.3	Sbay_2.305
NP_010429.1	Sbay_2.306
NP_010430.1	Sbay_2.307
NP_010431.3	Sbay_2.308
NP_010432.3	Sbay_2.310
NP_010434.1	Sbay_2.311
NP_010435.1	Sbay_2.313
NP_010436.3	Sbay_2.314
NP_010437.3	Sbay_2.315
NP_010439.1	Sbay_2.317
NP_010440.1	Sbay_2.319
NP_010442.3	Sbay_2.321
NP_010443.3	Sbay_2.322
NP_010444.1	Sbay_2.323
NP_010445.1	Sbay_2.324
NP_010446.3	Sbay_2.326
NP_010447.3	Sbay_2.327
NP_010448.1	Sbay_2.328
NP_010449.1	Sbay_2.329
NP_010450.3	Sbay_2.330
NP_010451.3	Sbay_2.331
NP_010452.1	Sbay_2.332
NP_010453.1	Sbay_2.333
NP_010454.3	Sbay_2.334
NP_010456.1	Sbay_2.337
NP_010457.3	Sbay_2.338
NP_010458.3	Sbay_2.339
NP_010459.1	Sbay_2.340
NP_010460.1	Sbay_2.341
NP_010461.3	Sbay_2.342
NP_010462.3	Sbay_2.343
NP_010463.1	Sbay_2.344
NP_010464.1	Sbay_2.345
NP_010465.4	Sbay_2.346
NP_010466.3	Sbay_2.347
NP_010467.1	Sbay_2.348
NP_010468.1	Sbay_2.349
NP_010469.3	Sbay_2.350
NP_010470.1	Sbay_2.353
NP_010471.1	Sbay_2.354
NP_010472.3	Sbay_2.355
NP_010474.3	Sbay_2.357
NP_010475.1	Sbay_2.358
NP_010476.1	Sbay_2.359
NP_010477.3	Sbay_2.360
NP_010478.3	Sbay_2.361
NP_010480.1	Sbay_2.362
NP_010481.3	Sbay_2.363
NP_010482.3	Sbay_2.364
NP_010483.1	Sbay_2.365
NP_010484.1	Sbay_2.366
NP_010486.3	Sbay_2.367
NP_010487.3	Sbay_2.368
NP_010488.1	Sbay_2.369
NP_010490.1	Sbay_2.371
NP_010491.4	Sbay_2.372
NP_010492.3	Sbay_2.373
NP_010493.1	Sbay_2.374
NP_010494.1	Sbay_2.376
NP_010496.3	Sbay_2.377
NP_010497.3	Sbay_2.379
NP_010498.1	Sbay_2.380
NP_010499.1	Sbay_2.381
NP_010500.3	Sbay_2.382
NP_010502.3	Sbay_2.383
NP_010503.1	Sbay_2.385
NP_010504.1	Sbay_2.386
NP_010505.3	Sbay_2.387
NP_010507.3	Sbay_2.388
NP_010508.1	Sbay_2.389
NP_010509.1	Sbay_2.390
NP_010510.3	Sbay_2.391
NP_010511.3	Sbay_2.392
NP_010512.1	Sbay_2.393
NP_010513.1	Sbay_2.394
NP_010514.3	Sbay_2.395
NP_010515.3	Sbay_2.396
NP_010517.1	Sbay_2.397
NP_010518.1	Sbay_2.398
NP_010519.3	Sbay_2.399
NP_010520.3	Sbay_2.400
NP_010521.1	Sbay_2.401
NP_010522.1	Sbay_2.402
NP_010523.3	Sbay_2.403
NP_010524.3	Sbay_2.404
NP_010525.1	Sbay_2.405
NP_010526.1	Sbay_2.406
NP_010528.3	Sbay_2.408
NP_010529.3	Sbay_2.409
NP_010530.1	Sbay_2.410
NP_010531.1	Sbay_2.411
NP_010532.3	Sbay_2.412
NP_010533.1	Sbay_2.413
NP_010534.1	Sbay_2.414
NP_010535.3	Sbay_2.415
NP_010537.3	Sbay_2.417
NP_010538.1	Sbay_2.418
NP_010539.1	Sbay_2.419
NP_010540.3	Sbay_2.420
NP_010541.3	Sbay_2.421
NP_010542.1	Sbay_2.422
NP_010543.1	Sbay_2.423
NP_010544.3	Sbay_2.424
NP_010545.3	Sbay_2.425
NP_010546.1	Sbay_2.426
NP_010547.1	Sbay_2.427
NP_010548.3	Sbay_2.429
NP_010549.3	Sbay_2.430
NP_010550.1	Sbay_2.432
NP_010551.1	Sbay_2.433
NP_010552.3	Sbay_2.434
NP_010553.3	Sbay_2.435
NP_010554.1	Sbay_2.436
NP_010556.1	Sbay_2.437
NP_010558.3	Sbay_2.438
NP_010559.3	Sbay_2.439
NP_010561.1	Sbay_2.440
NP_010562.1	Sbay_2.441
NP_010563.3	Sbay_2.442
NP_010565.3	Sbay_2.445
NP_010566.1	Sbay_2.446
NP_010567.1	Sbay_2.447
NP_010568.3	Sbay_2.448
NP_010569.3	Sbay_2.449
NP_010570.1	Sbay_2.450
NP_010571.1	Sbay_2.451
NP_010572.3	Sbay_2.452
NP_010573.3	Sbay_2.453
NP_010574.1	Sbay_2.454
NP_010575.1	Sbay_2.455
NP_010577.3	Sbay_2.457
NP_010578.3	Sbay_2.458
NP_010579.1	Sbay_2.459
NP_010580.1	Sbay_2.460
NP_010581.3	Sbay_2.461
NP_010582.3	Sbay_2.462
NP_010583.1	Sbay_2.463
NP_010584.1	Sbay_2.464
NP_010585.3	Sbay_2.465
NP_010586.3	Sbay_2.466
NP_010587.1	Sbay_2.467
NP_010588.1	Sbay_2.468
NP_010589.3	Sbay_2.469
NP_010590.3	Sbay_2.470
NP_010591.1	Sbay_2.471
NP_010592.1	Sbay_2.472
NP_010593.3	Sbay_2.474
NP_010594.3	Sbay_2.475
NP_010595.1	Sbay_2.476
NP_010596.1	Sbay_2.477
NP_010597.3	Sbay_2.478
NP_010599.1	Sbay_2.481
NP_010600.1	Sbay_2.482
NP_010601.3	Sbay_2.483
NP_010602.3	Sbay_2.484
NP_010603.3	Sbay_2.486
NP_010604.4	Sbay_2.487
NP_010605.1	Sbay_2.488
NP_010606.1	Sbay_2.489
NP_010607.3	Sbay_2.491
NP_010608.1	Sbay_2.492
NP_010609.1	Sbay_2.493
NP_010610.3	Sbay_2.494
NP_010611.3	Sbay_2.495
NP_010612.2	Sbay_2.496
NP_010613.1	Sbay_2.497
NP_010615.3	Sbay_2.498
NP_010616.3	Sbay_2.499
NP_010617.1	Sbay_2.500
NP_010618.1	Sbay_2.501
NP_010619.3	Sbay_2.502
NP_010620.3	Sbay_2.503
NP_010621.1	Sbay_2.504
NP_010622.1	Sbay_2.505
NP_010623.3	Sbay_2.506
NP_010624.3	Sbay_2.507
NP_010625.1	Sbay_2.508
NP_010626.1	Sbay_2.509
NP_010628.3	Sbay_2.511
NP_010629.3	Sbay_2.512
NP_010632.1	Sbay_2.516
NP_010633.3	Sbay_2.517
NP_010634.3	Sbay_2.518
NP_010635.1	Sbay_2.519
NP_010636.1	Sbay_2.520
NP_010637.4	Sbay_2.523
NP_010638.3	Sbay_2.524
NP_010639.1	Sbay_2.525
NP_010640.1	Sbay_2.526
NP_010641.3	Sbay_2.527
NP_010643.3	Sbay_2.528
NP_010644.1	Sbay_2.529
NP_010645.1	Sbay_2.530
NP_010646.4	Sbay_2.531
NP_010648.3	Sbay_2.532
NP_010649.1	Sbay_2.533
NP_010650.1	Sbay_2.534
NP_010651.3	Sbay_2.536
NP_010652.3	Sbay_2.537
NP_010653.1	Sbay_2.538
NP_010655.1	Sbay_2.539
NP_010656.1	Sbay_2.540
NP_010657.3	Sbay_2.541
NP_010658.3	Sbay_2.542
NP_010659.1	Sbay_2.543
NP_010660.1	Sbay_2.544
NP_010661.3	Sbay_2.545
NP_010662.3	Sbay_2.546
NP_010663.1	Sbay_2.548
NP_010664.3	Sbay_2.549
NP_010665.3	Sbay_2.550
NP_010666.2	Sbay_2.551
NP_010667.1	Sbay_2.552
NP_010668.3	Sbay_2.554
NP_010669.1	Sbay_2.555
NP_010670.3	Sbay_2.557
NP_010671.4	Sbay_2.558
NP_010672.1	Sbay_2.559
NP_010674.3	Sbay_2.561
NP_010675.3	Sbay_2.562
NP_010676.1	Sbay_2.563
NP_010677.1	Sbay_2.565
NP_010678.3	Sbay_2.566
NP_010679.3	Sbay_2.568
NP_010680.1	Sbay_2.569
NP_010681.1	Sbay_2.570
NP_010682.3	Sbay_2.571
NP_010683.3	Sbay_2.572
NP_010685.1	Sbay_2.573
NP_010686.1	Sbay_2.575
NP_010687.3	Sbay_2.576
NP_010688.4	Sbay_2.577
NP_010690.1	Sbay_2.578
NP_010691.1	Sbay_2.579
NP_010692.3	Sbay_2.581
NP_010693.3	Sbay_2.582
NP_010694.1	Sbay_2.583
NP_010695.1	Sbay_2.584
NP_010696.3	Sbay_2.585
NP_010697.3	Sbay_2.586
NP_010698.1	Sbay_2.587
NP_010699.1	Sbay_2.588
NP_010700.3	Sbay_2.589
NP_010702.4	Sbay_2.590
NP_010703.1	Sbay_2.591
NP_010704.1	Sbay_2.592
NP_010707.3	Sbay_2.594
NP_010709.1	Sbay_2.598
NP_010710.4	Sbay_2.599
NP_010712.1	Sbay_2.601
NP_010713.1	Sbay_2.602
NP_010715.3	Sbay_2.603
NP_010716.3	Sbay_2.604
NP_010717.1	Sbay_2.605
NP_010718.1	Sbay_2.606
NP_010720.3	Sbay_2.607
NP_010722.3	Sbay_2.609
NP_010723.1	Sbay_2.610
NP_010724.1	Sbay_2.611
NP_010725.3	Sbay_2.612
NP_010726.3	Sbay_2.613
NP_010727.1	Sbay_2.614
NP_010728.1	Sbay_2.616
NP_010729.3	Sbay_2.617
NP_010731.3	Sbay_2.618
NP_010732.1	Sbay_2.619
NP_010734.1	Sbay_2.621
NP_010736.3	Sbay_2.623
NP_010737.1	Sbay_2.624
NP_010739.3	Sbay_2.626
NP_010740.3	Sbay_2.627
NP_010741.1	Sbay_2.628
NP_010742.1	Sbay_2.629
NP_010744.3	Sbay_2.630
NP_010745.3	Sbay_2.631
NP_010746.1	Sbay_2.633
NP_010747.1	Sbay_2.634
NP_010748.3	Sbay_2.635
NP_010749.3	Sbay_2.636
NP_010750.1	Sbay_2.638
NP_010751.4	Sbay_2.639
NP_010752.3	Sbay_2.640
NP_010753.1	Sbay_2.641
NP_010754.1	Sbay_2.642
NP_010756.3	Sbay_2.643
NP_010757.3	Sbay_2.644
NP_010758.3	Sbay_2.645
NP_010760.3	Sbay_2.647
NP_010761.3	Sbay_2.648
NP_010763.2	Sbay_2.649
NP_010764.1	Sbay_2.650
NP_010765.3	Sbay_2.651
NP_010766.3	Sbay_2.652
NP_010767.1	Sbay_2.653
NP_010768.1	Sbay_2.654
NP_010769.3	Sbay_2.655
NP_010770.3	Sbay_2.656
NP_010771.1	Sbay_2.657
NP_010772.1	Sbay_2.658
NP_010773.4	Sbay_2.659
NP_010774.4	Sbay_2.660
NP_010775.1	Sbay_2.661
NP_010776.1	Sbay_2.664
NP_010777.3	Sbay_2.665
NP_010778.3	Sbay_2.666
NP_010780.1	Sbay_2.668
NP_010781.1	Sbay_2.669
NP_010782.4	Sbay_2.670
NP_010783.3	Sbay_2.672
NP_010784.1	Sbay_2.673
NP_010785.1	Sbay_2.674
NP_010786.3	Sbay_2.675
NP_010787.3	Sbay_2.676
NP_010789.1	Sbay_2.678
NP_010790.3	Sbay_2.679
NP_010791.3	Sbay_2.680
NP_010793.2	Sbay_2.682
NP_010794.3	Sbay_2.683
NP_010795.3	Sbay_2.687
NP_010796.1	Sbay_2.688
NP_010798.1	Sbay_2.689
NP_010799.3	Sbay_2.691
NP_010800.3	Sbay_2.692
NP_010801.1	Sbay_2.693
NP_010802.1	Sbay_2.694
NP_010803.3	Sbay_2.695
NP_010804.3	Sbay_2.697
NP_010805.1	Sbay_2.698
NP_010806.1	Sbay_2.699
NP_010807.3	Sbay_2.700
NP_010808.3	Sbay_2.701
NP_010810.1	Sbay_2.702
NP_010811.1	Sbay_2.703
NP_010812.3	Sbay_2.706
NP_010814.1	Sbay_2.708
NP_010816.4	Sbay_2.709
NP_010817.3	Sbay_2.710
NP_010818.1	Sbay_2.711
NP_010819.1	Sbay_2.712
NP_010820.3	Sbay_2.713
NP_010821.3	Sbay_2.714
NP_010822.1	Sbay_8.11
NP_010823.1	Sbay_8.10
NP_010825.3	Sbay_2.730
NP_010827.3	Sbay_2.734
NP_010828.1	Sbay_2.735
NP_010835.1	Sbay_47.1
NP_010841.1	Sbay_3.97
NP_010843.1	Sbay_16.1
NP_010845.1	Sbay_15.419
NP_010848.1	Sbay_5.1
NP_010849.3	Sbay_5.2
NP_010850.1	Sbay_5.3
NP_010851.1	Sbay_5.4
NP_010852.4	Sbay_5.5
NP_010853.2	Sbay_5.6
NP_010854.1	Sbay_5.7
NP_010856.1	Sbay_5.10
NP_010857.1	Sbay_5.11
NP_010858.3	Sbay_5.12
NP_010859.1	Sbay_5.13
NP_010860.1	Sbay_2.593
NP_010861.3	Sbay_5.16
NP_010862.1	Sbay_5.17
NP_010863.1	Sbay_5.18
NP_010864.3	Sbay_5.19
NP_010866.1	Sbay_5.22
NP_010867.3	Sbay_5.23
NP_010868.1	Sbay_5.24
NP_010870.1	Sbay_5.25
NP_010871.3	Sbay_5.26
NP_010872.1	Sbay_5.27
NP_010873.1	Sbay_5.28
NP_010874.3	Sbay_5.29
NP_010875.1	Sbay_5.30
NP_010876.2	Sbay_5.31
NP_010877.3	Sbay_5.32
NP_010878.1	Sbay_5.33
NP_010879.1	Sbay_5.34
NP_010880.3	Sbay_5.35
NP_010882.1	Sbay_5.37
NP_010883.3	Sbay_5.38
NP_010885.1	Sbay_5.40
NP_010887.3	Sbay_5.42
NP_010888.1	Sbay_5.43
NP_010889.1	Sbay_5.44
NP_010890.3	Sbay_5.45
NP_010891.1	Sbay_5.46
NP_010892.1	Sbay_5.47
NP_010893.3	Sbay_5.70
NP_010894.1	Sbay_5.69
NP_010895.1	Sbay_5.68
NP_010896.3	Sbay_5.67
NP_010897.1	Sbay_5.66
NP_010898.1	Sbay_5.65
NP_010899.3	Sbay_5.63
NP_010900.1	Sbay_5.62
NP_010901.1	Sbay_5.61
NP_010903.3	Sbay_5.59
NP_010904.2	Sbay_5.53
NP_010905.1	Sbay_5.52
NP_010907.3	Sbay_5.73
NP_010909.1	Sbay_5.79
NP_010910.1	Sbay_5.80
NP_010911.3	Sbay_5.81
NP_010912.1	Sbay_5.82
NP_010913.2	Sbay_5.83
NP_010914.3	Sbay_5.84
NP_010915.1	Sbay_5.85
NP_010916.1	Sbay_5.87
NP_010917.3	Sbay_5.89
NP_010918.1	Sbay_5.90
NP_010919.1	Sbay_5.91
NP_010920.3	Sbay_5.92
NP_010921.1	Sbay_5.93
NP_010922.1	Sbay_5.94
NP_010923.3	Sbay_5.95
NP_010924.1	Sbay_5.96
NP_010925.1	Sbay_5.97
NP_010926.3	Sbay_5.98
NP_010927.1	Sbay_5.99
NP_010928.1	Sbay_5.102
NP_010929.3	Sbay_5.103
NP_010930.1	Sbay_5.104
NP_010931.3	Sbay_5.105
NP_010932.1	Sbay_5.108
NP_010933.1	Sbay_5.109
NP_010934.3	Sbay_5.110
NP_010935.1	Sbay_5.112
NP_010936.1	Sbay_5.114
NP_010937.3	Sbay_5.115
NP_010938.1	Sbay_5.116
NP_010939.1	Sbay_5.117
NP_010940.3	Sbay_5.118
NP_010941.1	Sbay_5.119
NP_010942.1	Sbay_5.120
NP_010943.3	Sbay_5.122
NP_010944.1	Sbay_5.123
NP_010945.1	Sbay_5.124
NP_010946.3	Sbay_5.126
NP_010947.2	Sbay_5.127
NP_010948.1	Sbay_5.128
NP_010949.4	Sbay_5.129
NP_010950.1	Sbay_5.131
NP_010951.1	Sbay_5.132
NP_010952.3	Sbay_5.133
NP_010953.1	Sbay_5.134
NP_010954.1	Sbay_5.136
NP_010955.3	Sbay_5.137
NP_010958.3	Sbay_5.139
NP_010959.2	Sbay_5.140
NP_010960.1	Sbay_5.142
NP_010961.3	Sbay_5.143
NP_010962.1	Sbay_5.144
NP_010963.1	Sbay_5.145
NP_010964.3	Sbay_5.146
NP_010965.1	Sbay_5.148
NP_010966.1	Sbay_5.149
NP_010967.3	Sbay_5.150
NP_010968.1	Sbay_5.153
NP_010969.1	Sbay_5.154
NP_010970.4	Sbay_5.155
NP_010971.1	Sbay_5.156
NP_010972.1	Sbay_5.157
NP_010973.3	Sbay_5.158
NP_010974.1	Sbay_5.160
NP_010975.3	Sbay_5.161
NP_010978.3	Sbay_5.165
NP_010979.1	Sbay_5.166
NP_010980.1	Sbay_5.167
NP_010981.3	Sbay_5.169
NP_010982.1	Sbay_5.170
NP_010983.2	Sbay_5.171
NP_010984.3	Sbay_5.172
NP_010985.1	Sbay_5.173
NP_010986.1	Sbay_5.174
NP_010987.3	Sbay_5.175
NP_010990.1	Sbay_5.179
NP_010991.3	Sbay_5.180
NP_010992.1	Sbay_5.181
NP_010993.1	Sbay_5.182
NP_010994.3	Sbay_5.183
NP_010995.1	Sbay_5.184
NP_010996.2	Sbay_5.185
NP_010998.2	Sbay_5.188
NP_010999.3	Sbay_28.2
NP_011000.1	Sbay_5.190
NP_011001.1	Sbay_5.191
NP_011002.1	Sbay_5.192
NP_011003.1	Sbay_5.193
NP_011004.3	Sbay_5.194
NP_011005.1	Sbay_5.195
NP_011006.2	Sbay_5.196
NP_011008.3	Sbay_5.198
NP_011009.1	Sbay_5.199
NP_011010.1	Sbay_5.200
NP_011011.3	Sbay_5.201
NP_011012.3	Sbay_5.202
NP_011013.1	Sbay_5.204
NP_011014.1	Sbay_5.206
NP_011015.3	Sbay_5.207
NP_011017.3	Sbay_5.210
NP_011018.1	Sbay_5.211
NP_011019.1	Sbay_5.212
NP_011020.3	Sbay_5.213
NP_011021.3	Sbay_5.214
NP_011022.1	Sbay_5.215
NP_011024.1	Sbay_5.217
NP_011025.3	Sbay_5.218
NP_011026.3	Sbay_5.219
NP_011027.1	Sbay_5.220
NP_011028.1	Sbay_5.221
NP_011029.3	Sbay_5.222
NP_011030.3	Sbay_5.224
NP_011031.1	Sbay_5.225
NP_011032.1	Sbay_5.227
NP_011033.3	Sbay_5.228
NP_011035.1	Sbay_5.230
NP_011036.1	Sbay_5.232
NP_011037.3	Sbay_5.233
NP_011038.3	Sbay_5.234
NP_011039.1	Sbay_5.235
NP_011040.1	Sbay_5.236
NP_011041.3	Sbay_5.237
NP_011042.3	Sbay_5.238
NP_011043.1	Sbay_5.239
NP_011044.1	Sbay_5.240
NP_011046.3	Sbay_5.241
NP_011048.1	Sbay_5.242
NP_011049.2	Sbay_5.243
NP_011050.3	Sbay_5.245
NP_011051.3	Sbay_5.246
NP_011052.1	Sbay_5.247
NP_011053.1	Sbay_5.248
NP_011054.3	Sbay_5.249
NP_011055.3	Sbay_5.250
NP_011056.1	Sbay_5.251
NP_011058.3	Sbay_5.253
NP_011059.3	Sbay_5.254
NP_011060.1	Sbay_5.257
NP_011062.1	Sbay_5.259
NP_011063.3	Sbay_5.260
NP_011066.3	Sbay_5.267
NP_011067.3	Sbay_5.268
NP_011068.1	Sbay_5.269
NP_011069.1	Sbay_5.270
NP_011070.3	Sbay_5.271
NP_011071.3	Sbay_5.272
NP_011072.1	Sbay_5.273
NP_011073.1	Sbay_5.274
NP_011074.3	Sbay_5.275
NP_011075.3	Sbay_5.276
NP_011076.1	Sbay_5.277
NP_011077.1	Sbay_5.278
NP_011078.3	Sbay_5.280
NP_011079.3	Sbay_5.281
NP_011080.1	Sbay_5.282
NP_011081.1	Sbay_5.284
NP_011082.3	Sbay_5.285
NP_011083.3	Sbay_5.286
NP_011084.1	Sbay_5.287
NP_011085.1	Sbay_5.292
NP_011086.3	Sbay_5.293
NP_011088.1	Sbay_5.295
NP_011089.4	Sbay_5.296
NP_011090.3	Sbay_5.297
NP_011091.1	Sbay_5.298
NP_011092.1	Sbay_5.299
NP_011093.3	Sbay_5.300
NP_011094.3	Sbay_5.301
NP_011095.1	Sbay_5.302
NP_011096.1	Sbay_5.303
NP_011097.3	Sbay_5.304
NP_011098.3	Sbay_5.305
NP_011099.1	Sbay_5.306
NP_011100.1	Sbay_5.307
NP_011101.3	Sbay_5.308
NP_011102.3	Sbay_5.309
NP_011103.1	Sbay_5.312
NP_011104.3	Sbay_5.313
NP_011105.4	Sbay_5.314
NP_011106.1	Sbay_5.315
NP_011107.1	Sbay_5.316
NP_011109.3	Sbay_5.319
NP_011110.1	Sbay_5.320
NP_011252.1	Sbay_2.739
NP_011254.1	Sbay_5.107
NP_011256.1	Sbay_13.4
NP_011257.1	Sbay_5.322
NP_011258.2	Sbay_5.321
NP_011259.1	Sbay_7.6
NP_011260.1	Sbay_7.7
NP_011261.1	Sbay_7.8
NP_011262.1	Sbay_7.9
NP_011263.2	Sbay_7.10
NP_011264.2	Sbay_7.11
NP_011265.1	Sbay_7.12
NP_011266.1	Sbay_7.13
NP_011267.1	Sbay_7.14
NP_011268.1	Sbay_7.15
NP_011269.2	Sbay_7.16
NP_011270.1	Sbay_7.17
NP_011271.1	Sbay_7.18
NP_011272.1	Sbay_7.19
NP_011273.1	Sbay_7.20
NP_011274.2	Sbay_7.21
NP_011276.1	Sbay_7.22
NP_011277.1	Sbay_7.23
NP_011278.2	Sbay_7.24
NP_011280.1	Sbay_7.25
NP_011281.1	Sbay_7.26
NP_011282.1	Sbay_7.27
NP_011283.1	Sbay_7.28
NP_011284.1	Sbay_7.29
NP_011285.1	Sbay_7.30
NP_011286.1	Sbay_7.31
NP_011287.1	Sbay_7.32
NP_011288.1	Sbay_7.33
NP_011289.1	Sbay_7.34
NP_011290.1	Sbay_7.37
NP_011291.1	Sbay_7.38
NP_011292.1	Sbay_7.39
NP_011293.1	Sbay_7.40
NP_011294.1	Sbay_7.41
NP_011295.1	Sbay_7.42
NP_011296.1	Sbay_7.43
NP_011299.1	Sbay_7.44
NP_011300.1	Sbay_7.45
NP_011302.1	Sbay_7.48
NP_011303.1	Sbay_7.49
NP_011304.2	Sbay_7.50
NP_011305.1	Sbay_7.51
NP_011306.1	Sbay_7.52
NP_011307.1	Sbay_7.53
NP_011308.1	Sbay_7.54
NP_011309.1	Sbay_7.55
NP_011310.1	Sbay_7.56
NP_011312.1	Sbay_7.59
NP_011313.1	Sbay_7.61
NP_011314.2	Sbay_7.62
NP_011315.3	Sbay_7.64
NP_011317.2	Sbay_7.65
NP_011318.2	Sbay_7.66
NP_011319.2	Sbay_7.67
NP_011320.3	Sbay_7.68
NP_011321.1	Sbay_7.71
NP_011323.3	Sbay_7.72
NP_011324.1	Sbay_7.73
NP_011325.1	Sbay_7.74
NP_011326.1	Sbay_7.75
NP_011328.1	Sbay_7.76
NP_011329.1	Sbay_7.77
NP_011330.1	Sbay_7.78
NP_011331.3	Sbay_7.79
NP_011332.2	Sbay_7.80
NP_011334.1	Sbay_7.81
NP_011335.1	Sbay_7.82
NP_011336.3	Sbay_7.83
NP_011337.1	Sbay_7.85
NP_011339.1	Sbay_7.87
NP_011340.1	Sbay_7.88
NP_011341.3	Sbay_7.89
NP_011342.1	Sbay_7.90
NP_011343.1	Sbay_7.91
NP_011344.1	Sbay_7.92
NP_011345.3	Sbay_7.93
NP_011346.1	Sbay_7.95
NP_011348.1	Sbay_7.96
NP_011349.3	Sbay_7.97
NP_011351.1	Sbay_7.98
NP_011352.1	Sbay_7.99
NP_011353.1	Sbay_7.100
NP_011354.3	Sbay_7.102
NP_011355.1	Sbay_7.103
NP_011356.1	Sbay_7.104
NP_011357.1	Sbay_7.106
NP_011358.3	Sbay_7.236
NP_011359.1	Sbay_7.109
NP_011360.1	Sbay_7.110
NP_011361.1	Sbay_7.111
NP_011362.3	Sbay_7.112
NP_011364.1	Sbay_7.113
NP_011365.1	Sbay_7.114
NP_011367.1	Sbay_7.116
NP_011369.1	Sbay_7.118
NP_011371.1	Sbay_7.120
NP_011372.3	Sbay_7.121
NP_011373.1	Sbay_7.122
NP_011374.1	Sbay_7.123
NP_011375.1	Sbay_7.124
NP_011376.3	Sbay_7.125
NP_011377.1	Sbay_7.126
NP_011378.1	Sbay_7.127
NP_011379.1	Sbay_7.128
